team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Ath Paranaense,3,38,38,"3,420",38.0,0,0.00,0,0,,14,9,15,14,36.8,7,2,3,2,60.0
Atlético Mineiro,1,38,38,"3,420",38.0,0,0.00,0,0,,21,6,11,11,28.9,7,4,2,1,33.3
Avaí,2,38,38,"3,420",38.0,0,0.00,0,0,,11,9,18,6,15.8,4,3,0,1,0.0
Chapecoense,3,38,38,"3,420",38.0,0,0.00,0,0,,12,11,15,14,36.8,5,3,1,1,25.0
Corinthians,2,38,38,"3,420",38.0,0,0.00,0,0,,24,9,5,17,44.7,2,0,1,1,100.0
Coritiba,3,38,38,"3,420",38.0,0,0.00,0,0,,11,11,16,15,39.5,3,3,0,0,0.0
Cruzeiro,2,38,38,"3,420",38.0,0,0.00,0,0,,15,10,13,12,31.6,1,1,0,0,0.0
Figueirense,3,38,38,"3,420",38.0,0,0.00,0,0,,11,10,17,9,23.7,8,8,0,0,0.0
Flamengo,2,38,38,"3,420",38.0,0,0.00,0,0,,15,4,19,10,26.3,6,6,0,0,0.0
Fluminense,3,38,38,"3,420",38.0,0,0.00,0,0,,14,5,19,11,28.9,6,4,1,1,20.0
Goiás,2,38,38,"3,420",38.0,0,0.00,0,0,,10,8,20,12,31.6,3,2,0,1,0.0
Grêmio,3,38,38,"3,420",38.0,0,0.00,0,0,,20,8,10,15,39.5,4,4,0,0,0.0
Internacional,2,38,38,"3,420",38.0,0,0.00,0,0,,17,9,12,19,50.0,8,7,0,1,0.0
Joinville,2,38,38,"3,330",38.0,0,0.00,0,0,,7,10,21,11,28.9,6,4,2,0,33.3
Palmeiras,2,38,38,"3,420",38.0,0,0.00,0,0,,15,8,15,8,21.1,6,4,0,2,0.0
Ponte Preta,2,38,38,"3,420",38.0,0,0.00,0,0,,13,12,13,12,31.6,4,2,1,1,33.3
Santos,2,38,38,"3,420",38.0,0,0.00,0,0,,16,10,12,13,34.2,5,5,0,0,0.0
São Paulo,3,38,38,"3,420",38.0,0,0.00,0,0,,18,8,12,15,39.5,3,2,0,1,0.0
Sport Recife,2,38,38,"3,420",38.0,0,0.00,0,0,,15,14,9,15,39.5,3,3,0,0,0.0
Vasco da Gama,3,38,38,"3,418",38.0,0,0.00,0,0,,10,11,17,11,28.9,7,5,1,1,16.7
