team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,pens_made,pens_att
América (MG),46,38.0,23,421,110,26.1,11.08,2.89,0.05,0.19,,2,3
Ath Paranaense,36,38.0,37,413,149,36.1,10.87,3.92,0.08,0.22,,4,4
Atlético Mineiro,39,37.0,61,478,172,36.0,12.92,4.65,0.12,0.33,,5,5
Botafogo (RJ),34,38.0,43,468,149,31.8,12.32,3.92,0.08,0.26,,5,6
Chapecoense,35,37.0,47,434,144,33.2,11.73,3.89,0.09,0.28,,7,7
Corinthians,34,38.0,47,490,169,34.5,12.89,4.45,0.09,0.26,,3,4
Coritiba,41,38.0,41,476,178,37.4,12.53,4.68,0.08,0.21,,3,5
Cruzeiro,37,38.0,48,551,176,31.9,14.50,4.63,0.08,0.26,,2,5
Figueirense,39,38.0,29,365,128,35.1,9.61,3.37,0.07,0.19,,5,5
Flamengo,31,38.0,50,539,168,31.2,14.18,4.42,0.08,0.27,,5,7
Fluminense,33,38.0,43,499,157,31.5,13.13,4.13,0.08,0.25,,4,7
Grêmio,37,38.0,40,527,169,32.1,13.87,4.45,0.07,0.23,,1,1
Internacional,40,38.0,34,489,158,32.3,12.87,4.16,0.06,0.20,,3,5
Palmeiras,35,38.0,62,528,199,37.7,13.89,5.24,0.11,0.29,,4,5
Ponte Preta,35,38.0,48,469,158,33.7,12.34,4.16,0.10,0.28,,3,4
Santa Cruz,41,38.0,45,455,153,33.6,11.97,4.03,0.09,0.26,,5,6
Santos,38,38.0,57,427,174,40.7,11.24,4.58,0.12,0.29,,6,6
São Paulo,41,38.0,44,502,194,38.6,13.21,5.11,0.08,0.20,,5,7
Sport Recife,30,38.0,48,467,177,37.9,12.29,4.66,0.10,0.25,,3,4
Vitória,33,38.0,47,546,166,30.4,14.37,4.37,0.08,0.26,,4,8
