team,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90
América (MG),34,28.6,38,"3,420",90,100,38.0,418,83,,114,24,284,1.05,30,47,-17,-0.45
Ath Paranaense,34,26.1,38,"3,420",90,100,38.0,418,84,,112,21,319,1.50,54,37,+17,+0.45
Atlético Mineiro,32,28.3,38,"3,420",90,100,38.0,418,85,,113,20,327,1.55,56,43,+13,+0.34
Bahia,36,26.7,38,"3,420",90,100,38.0,418,85,,113,19,295,1.26,39,41,-2,-0.05
Botafogo (RJ),34,25.5,38,"3,420",90,100,38.0,418,84,,114,21,304,1.34,38,46,-8,-0.21
Ceará,41,28.1,38,"3,420",90,100,38.0,418,84,,114,23,290,1.16,32,38,-6,-0.16
Chapecoense,37,27.7,38,"3,420",90,100,38.0,418,84,,114,23,312,1.16,34,50,-16,-0.42
Corinthians,38,26.6,38,"3,420",90,100,38.0,418,84,,113,19,319,1.16,34,35,-1,-0.03
Cruzeiro,35,29.0,38,"3,420",90,100,38.0,418,84,,111,23,286,1.39,34,34,0,0.00
Flamengo,32,26.6,38,"3,420",90,100,38.0,418,85,,114,17,337,1.89,59,29,+30,+0.79
Fluminense,38,25.2,38,"3,420",90,100,38.0,418,84,,112,23,293,1.18,32,46,-14,-0.37
Grêmio,39,27.5,38,"3,420",90,100,38.0,418,84,,112,21,315,1.74,48,27,+21,+0.55
Internacional,32,26.7,38,"3,420",90,100,38.0,418,85,,112,19,309,1.82,51,29,+22,+0.58
Palmeiras,29,28.4,38,"3,420",90,100,38.0,418,84,,114,22,329,2.11,64,26,+38,+1.00
Paraná,50,25.0,38,"3,420",90,100,38.0,418,83,,113,25,287,0.61,18,57,-39,-1.03
Santos,35,26.1,38,"3,420",90,100,38.0,418,84,,114,21,316,1.32,46,40,+6,+0.16
São Paulo,38,28.3,38,"3,420",90,100,38.0,418,84,,112,21,291,1.66,46,34,+12,+0.32
Sport Recife,36,28.2,38,"3,420",90,100,38.0,418,83,,114,24,295,1.11,35,57,-22,-0.58
Vasco da Gama,42,27.2,38,"3,420",90,100,38.0,418,84,,113,22,325,1.13,41,48,-7,-0.18
Vitória,46,24.6,38,"3,420",90,100,38.0,418,83,,114,26,300,0.97,36,63,-27,-0.71
