team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Ath Paranaense,41,38.0,38,439,144,32.8,11.55,3.79,0.09,0.26,18.7,24,0,1,45.6,44.8,0.10,-7.6,-6.8
Atl Goianiense,35,38.0,39,459,143,31.2,12.08,3.76,0.08,0.24,20.2,27,4,4,44.3,41.1,0.09,-5.3,-6.1
Atlético Mineiro,34,38.0,60,621,198,31.9,16.34,5.21,0.08,0.26,19.4,25,8,13,68.5,58.2,0.10,-8.5,-6.2
Bahia,39,38.0,48,506,171,33.8,13.32,4.50,0.08,0.25,19.1,24,5,8,55.9,49.6,0.10,-7.9,-6.6
Botafogo (RJ),45,38.0,32,515,144,28.0,13.55,3.79,0.05,0.18,19.5,30,6,7,51.3,45.8,0.09,-19.3,-19.8
Bragantino,35,38.0,50,581,180,31.0,15.29,4.74,0.08,0.26,20.1,32,4,8,53.3,47.1,0.08,-3.3,-1.1
Ceará,34,38.0,52,450,148,32.9,11.84,3.89,0.10,0.31,18.8,22,6,7,51.8,46.4,0.11,+0.2,-0.4
Corinthians,36,38.0,44,471,172,36.5,12.39,4.53,0.08,0.23,19.9,24,4,5,44.1,40.2,0.09,-0.1,-0.2
Coritiba,47,38.0,31,387,104,26.9,10.18,2.74,0.07,0.25,21.3,22,5,6,37.9,33.3,0.09,-6.9,-7.3
Flamengo,38,38.0,67,569,199,35.0,14.97,5.24,0.11,0.30,17.9,26,7,10,78.4,71.5,0.13,-11.4,-11.5
Fluminense,37,38.0,52,436,141,32.3,11.47,3.71,0.11,0.33,19.0,18,6,7,41.3,35.9,0.08,+10.7,+10.1
Fortaleza,31,38.0,33,405,118,29.1,10.66,3.11,0.07,0.24,19.4,20,5,8,43.3,37.4,0.09,-10.3,-9.4
Goiás,49,38.0,39,416,129,31.0,10.95,3.39,0.08,0.27,20.1,29,4,5,39.5,35.6,0.09,-0.5,-0.6
Grêmio,37,38.0,51,507,157,31.0,13.34,4.13,0.09,0.29,19.3,45,5,7,54.3,48.8,0.10,-3.3,-2.8
Internacional,39,38.0,59,441,151,34.2,11.61,3.97,0.11,0.33,17.5,21,9,10,55.3,47.4,0.11,+3.7,+2.6
Palmeiras,36,38.0,51,515,156,30.3,13.55,4.11,0.09,0.29,20.9,23,5,7,52.6,47.5,0.10,-1.6,-1.5
Santos,40,38.0,49,423,148,35.0,11.13,3.89,0.09,0.26,19.8,39,11,13,50.9,40.9,0.10,-1.9,-2.9
São Paulo,28,38.0,59,549,187,34.1,14.45,4.92,0.10,0.28,19.8,39,6,7,54.3,48.9,0.09,+4.7,+4.1
Sport Recife,38,38.0,31,368,90,24.5,9.68,2.37,0.06,0.26,19.8,25,8,8,34.7,28.6,0.08,-3.7,-5.6
Vasco da Gama,34,38.0,37,391,134,34.3,10.29,3.53,0.09,0.25,20.0,24,3,4,41.1,38.0,0.10,-4.1,-4.0
