team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Ath Paranaense,41,53.5,38.0,22963,2411,7170,11105,4879,602,22962,559,327,58.5,232,41.5,13837,70840,36439,578,441,120,542,306,15865,1612
Atl Goianiense,35,46.9,38.0,19665,2253,6438,8444,5044,610,19661,582,339,58.2,242,41.6,10527,61114,33605,668,416,106,491,296,11952,1412
Atlético Mineiro,34,60.7,38.0,26772,1917,6399,13407,7157,966,26759,622,364,58.5,258,41.5,16147,75738,40476,696,614,188,542,268,19124,2203
Bahia,39,46.8,38.0,20699,2078,6469,9727,4746,638,20691,638,393,61.6,245,38.4,12159,65594,34128,691,471,136,513,306,13243,1491
Botafogo (RJ),45,47.8,38.0,20990,2278,6520,9995,4729,707,20983,565,338,59.8,227,40.2,12623,66304,34438,604,490,111,522,293,13544,1422
Bragantino,35,48.9,38.0,21362,1866,6287,9582,5720,755,21354,597,355,59.5,242,40.5,12342,65013,34543,692,500,173,583,312,13409,1598
Ceará,34,43.6,38.0,19395,2121,5826,9113,4690,638,19388,585,355,60.7,230,39.3,11030,58170,28875,576,424,141,546,306,11703,1326
Corinthians,36,49.9,38.0,22269,2209,6995,10152,5324,731,22264,556,340,61.2,216,38.8,12596,61914,32419,607,467,121,570,331,14281,1618
Coritiba,47,46.7,38.0,20952,2547,7570,9411,4212,487,20946,583,352,60.4,231,39.6,12037,63312,33218,565,450,87,543,292,13457,1272
Flamengo,38,60.3,38.0,25937,1969,6590,12030,7620,1071,25927,739,500,67.7,239,32.3,17311,89283,46053,922,730,198,553,387,18539,2151
Fluminense,37,48.7,38.0,21538,2058,6935,10256,4591,609,21530,637,395,62.0,242,38.0,12538,65868,33403,549,461,96,600,407,13861,1333
Fortaleza,31,49.9,38.0,20615,2102,6145,10226,4475,573,20607,636,418,65.7,217,34.1,12295,65786,34662,598,478,143,435,260,13862,1385
Goiás,49,42.5,38.0,18885,2480,6936,8073,4100,503,18880,543,341,62.8,202,37.2,9960,55169,28036,491,425,82,512,369,11002,1084
Grêmio,37,52.4,38.0,23774,1663,5670,12163,6205,775,23767,723,452,62.5,271,37.5,13775,72224,35686,743,591,167,518,321,16624,1579
Internacional,39,49.4,38.0,21406,1840,6056,10492,5098,665,21396,567,349,61.6,218,38.4,12159,66997,34500,664,513,117,598,324,13417,1377
Palmeiras,36,52.1,38.0,22399,2069,6850,10613,5167,610,22392,532,351,66.0,181,34.0,13845,69474,35334,609,522,104,560,278,14927,1596
Santos,40,50.7,38.0,20303,2225,7061,8991,4487,602,20290,591,359,60.7,232,39.3,11728,64201,32870,638,443,127,532,285,12817,1327
São Paulo,28,57.2,38.0,25003,2140,7227,12091,5897,724,24996,562,349,62.1,213,37.9,15663,79491,43431,703,584,101,550,337,17760,1674
Sport Recife,38,45.1,38.0,20237,2265,6592,9328,4548,562,20229,502,274,54.6,228,45.4,11044,56584,29398,569,458,84,521,314,12447,1335
Vasco da Gama,34,46.7,38.0,20742,2165,6662,9845,4481,516,20738,667,422,63.3,245,36.7,12608,69881,35439,661,552,103,539,372,13275,1279
