team,players_used,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
América (MG),36,38.0,998,26.26,716,92,64,59,45,22,71,1.87,52,2,4,6,5,2
Ath Paranaense,40,38.0,906,23.84,655,88,46,50,54,13,76,2.00,60,5,3,4,4,0
Atl Goianiense,31,38.0,712,18.74,512,55,52,40,43,10,52,1.37,35,2,7,3,4,1
Atlético Mineiro,35,38.0,959,25.24,709,77,52,43,60,18,120,3.16,82,4,8,9,11,6
Bahia,38,38.0,815,21.45,602,85,31,34,51,12,74,1.95,48,7,6,3,8,2
Bragantino,39,38.0,899,23.66,672,64,53,44,56,10,92,2.42,70,7,5,7,3,0
Ceará,38,38.0,888,23.37,611,92,57,60,56,12,59,1.55,32,6,5,12,4,0
Chapecoense,42,38.0,678,17.84,460,71,42,42,47,16,45,1.18,26,4,2,6,6,1
Corinthians,33,38.0,744,19.58,536,61,54,42,44,7,70,1.84,47,3,7,7,6,0
Cuiabá,30,38.0,751,19.76,566,64,39,37,32,13,55,1.45,34,5,2,9,5,0
Flamengo,41,38.0,1000,26.32,717,82,75,55,50,21,118,3.11,76,9,18,9,3,3
Fluminense,36,38.0,728,19.16,523,68,45,35,48,9,62,1.63,42,7,5,4,4,0
Fortaleza,28,38.0,950,25.00,686,78,67,55,55,9,68,1.79,38,11,4,9,6,0
Grêmio,39,38.0,973,25.61,733,72,65,38,48,17,77,2.03,56,2,9,5,5,0
Internacional,36,38.0,814,21.42,608,69,36,44,43,14,78,2.05,54,6,5,5,8,0
Juventude,35,38.0,718,18.89,488,65,54,40,62,9,56,1.47,36,6,4,2,8,0
Palmeiras,46,38.0,955,25.13,683,104,56,53,50,9,97,2.55,69,8,7,8,5,0
Santos,38,38.0,820,21.58,631,53,29,43,55,9,58,1.53,42,1,3,7,5,0
São Paulo,32,38.0,790,20.79,577,74,41,46,43,9,54,1.42,35,3,3,5,7,1
Sport Recife,38,38.0,817,21.50,596,75,33,38,59,16,40,1.05,28,1,4,3,4,0
