team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
América (MG),36,29.2,47.6,38,418,"3,420",38.0,41,27,68,35,6,9,64,1,56.1,49.1,38.6,87.7,736,1507,1.08,0.71,1.79,0.92,1.63,1.48,1.02,2.49,1.29,2.31
Ath Paranaense,40,25.2,49.0,38,418,"3,420",38.0,41,31,72,39,2,2,83,3,41.8,40.2,31.0,71.2,579,1437,1.08,0.82,1.89,1.03,1.84,1.10,0.82,1.92,1.06,1.87
Atl Goianiense,31,26.5,49.4,38,418,"3,420",38.0,32,20,52,28,4,4,89,2,37.0,33.9,26.5,60.4,559,1401,0.84,0.53,1.37,0.74,1.26,0.97,0.70,1.67,0.89,1.59
Atlético Mineiro,35,27.8,56.2,38,418,"3,420",38.0,67,47,114,57,10,11,79,2,57.8,49.3,39.6,88.9,616,1756,1.76,1.24,3.00,1.50,2.74,1.52,1.04,2.56,1.30,2.34
Bahia,38,27.2,47.1,38,418,"3,420",38.0,42,29,71,38,4,5,94,5,45.6,41.7,32.8,74.5,630,1511,1.11,0.76,1.87,1.00,1.76,1.20,0.86,2.06,1.10,1.96
Bragantino,39,23.8,49.6,38,418,"3,420",38.0,53,44,97,51,2,4,89,2,47.2,44.1,34.6,78.7,661,1467,1.39,1.16,2.55,1.34,2.50,1.24,0.91,2.15,1.16,2.07
Ceará,38,27.2,46.6,38,418,"3,420",38.0,38,23,61,35,3,4,89,4,47.9,44.9,33.0,77.9,548,1386,1.00,0.61,1.61,0.92,1.53,1.26,0.87,2.13,1.18,2.05
Chapecoense,42,25.5,42.6,38,418,"3,420",38.0,26,17,43,22,4,5,77,5,39.5,35.8,27.1,62.9,504,1106,0.68,0.45,1.13,0.58,1.03,1.04,0.71,1.75,0.94,1.66
Corinthians,33,28.3,54.6,38,418,"3,420",38.0,39,29,68,34,5,6,61,3,40.2,35.5,28.6,64.1,656,1554,1.03,0.76,1.79,0.89,1.66,1.06,0.75,1.81,0.94,1.69
Cuiabá,30,28.5,46.3,38,418,"3,420",38.0,32,20,52,28,4,4,87,6,36.6,33.4,27.1,60.5,567,1351,0.84,0.53,1.37,0.74,1.26,0.96,0.71,1.68,0.88,1.59
Flamengo,41,27.4,58.5,38,418,"3,420",38.0,67,55,122,64,3,4,84,3,66.5,63.4,50.3,113.7,894,2055,1.76,1.45,3.21,1.68,3.13,1.75,1.32,3.07,1.67,2.99
Fluminense,36,26.5,49.7,38,418,"3,420",38.0,37,27,64,33,4,5,85,3,44.3,40.4,31.2,71.6,565,1415,0.97,0.71,1.68,0.87,1.58,1.17,0.82,1.99,1.06,1.88
Fortaleza,28,27.8,49.9,38,418,"3,420",38.0,43,26,69,39,4,7,90,4,50.6,44.9,32.6,77.5,628,1474,1.13,0.68,1.82,1.03,1.71,1.33,0.86,2.19,1.18,2.04
Grêmio,39,26.9,51.9,38,418,"3,420",38.0,43,33,76,40,3,7,102,7,50.5,45.1,37.2,82.3,813,1621,1.13,0.87,2.00,1.05,1.92,1.33,0.98,2.31,1.19,2.17
Internacional,36,26.2,50.8,38,418,"3,420",38.0,43,33,76,37,6,6,105,11,50.6,45.9,39.0,84.9,672,1354,1.13,0.87,2.00,0.97,1.84,1.33,1.03,2.36,1.21,2.24
Juventude,35,27.2,44.6,38,418,"3,420",38.0,34,18,52,29,5,6,89,3,37.5,33.1,23.4,56.6,494,1181,0.89,0.47,1.37,0.76,1.24,0.99,0.62,1.60,0.87,1.49
Palmeiras,46,26.8,50.1,38,418,"3,420",38.0,54,41,95,50,4,5,84,7,56.3,52.8,41.4,94.2,694,1499,1.42,1.08,2.50,1.32,2.39,1.48,1.09,2.57,1.39,2.48
Santos,38,25.6,53.4,38,418,"3,420",38.0,34,22,56,28,6,8,90,1,44.7,38.5,29.3,67.8,792,1546,0.89,0.58,1.47,0.74,1.32,1.18,0.77,1.95,1.01,1.78
São Paulo,32,26.5,56.1,38,418,"3,420",38.0,30,20,50,26,4,4,95,4,45.5,42.4,31.4,73.8,677,1633,0.79,0.53,1.32,0.68,1.21,1.20,0.83,2.02,1.12,1.94
Sport Recife,38,26.1,46.0,38,418,"3,420",38.0,24,15,39,21,3,4,89,4,39.8,36.7,28.4,65.1,585,1258,0.63,0.39,1.03,0.55,0.95,1.05,0.75,1.80,0.97,1.71
