team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
América (MG),3,38.0,40,2,1,6,1,45.4,0.24,+6.4,+0.17,207,547,37.8,777,161,47.0,41.2,342,53.2,42.5,628,60,9.6,34,0.89,11.9
Ath Paranaense,2,38.0,48,3,2,10,1,52.3,0.29,+5.3,+0.14,162,568,28.5,614,126,55.9,46.4,367,61.3,48.3,634,31,4.9,16,0.42,9.0
Atl Goianiense,4,38.0,57,3,1,10,2,56.5,0.28,+1.5,+0.04,175,389,45.0,716,196,35.5,33.5,327,41.3,36.5,734,29,4.0,14,0.37,5.4
Atlético Mineiro,2,38.0,37,6,0,2,0,37.7,0.26,+0.7,+0.02,149,347,42.9,940,137,34.3,22.3,238,10.5,17.1,390,29,7.4,42,1.11,10.4
Avaí,3,38.0,60,8,1,12,1,59.1,0.29,+0.1,0.00,112,293,38.2,710,153,25.6,31.4,349,31.8,32.5,655,21,3.2,24,0.63,12.2
Botafogo (RJ),4,38.0,43,4,1,5,1,47.5,0.31,+5.5,+0.14,158,435,36.3,713,143,42.5,42.5,295,44.7,35.9,545,32,5.9,34,0.89,9.0
Bragantino,2,38.0,59,9,1,4,2,56.5,0.28,-0.5,-0.01,196,492,39.8,979,157,38.9,30.2,293,37.9,37.4,554,27,4.9,46,1.21,5.3
Ceará,3,38.0,41,5,0,5,0,46.1,0.24,+5.1,+0.13,197,480,41.0,773,161,42.0,31.3,327,47.4,40.0,578,34,5.9,38,1.00,4.5
Corinthians,3,38.0,36,6,0,8,1,39.9,0.22,+4.9,+0.13,188,451,41.7,727,168,38.2,40.9,331,52.3,41.2,545,25,4.6,25,0.66,6.7
Coritiba,3,38.0,60,4,2,9,1,63.0,0.31,+4.0,+0.11,155,426,36.4,656,142,40.5,35.6,343,46.6,38.6,589,34,5.8,27,0.71,13.4
Cuiabá,2,38.0,42,4,0,2,1,56.4,0.31,+15.4,+0.40,215,484,44.4,656,133,43.3,35.2,327,61.2,44.3,611,26,4.3,29,0.76,13.8
Flamengo,3,38.0,39,5,2,4,1,37.9,0.24,-0.1,0.00,98,267,36.7,739,173,28.6,29.7,262,21.4,26.7,454,32,7.0,26,0.68,14.8
Fluminense,1,38.0,41,3,1,7,1,45.6,0.29,+5.6,+0.15,67,201,33.3,664,177,18.4,25.5,292,27.1,24.3,507,26,5.1,25,0.66,12.6
Fortaleza,3,38.0,39,4,1,3,2,46.6,0.26,+9.6,+0.25,171,437,39.1,576,128,47.6,37.8,306,53.3,40.7,566,27,4.8,19,0.50,10.2
Goiás,1,38.0,53,7,0,4,0,54.2,0.24,+1.2,+0.03,297,723,41.1,921,132,52.7,42.4,392,60.7,48.2,724,43,5.9,26,0.68,12.7
Internacional,2,38.0,31,4,2,9,0,42.0,0.28,+11.0,+0.29,154,437,35.2,615,139,47.6,39.3,309,46.6,37.4,615,32,5.2,14,0.37,8.8
Juventude,3,38.0,69,6,1,7,3,58.2,0.25,-7.8,-0.20,158,424,37.3,747,157,31.7,32.9,390,47.9,39.4,681,24,3.5,23,0.61,14.2
Palmeiras,3,38.0,27,3,2,3,2,32.2,0.24,+7.2,+0.19,142,407,34.9,899,183,34.8,34.2,287,32.8,33.2,445,34,7.6,34,0.89,15.1
Santos,2,38.0,41,6,0,2,1,45.5,0.23,+5.5,+0.15,119,384,31.0,673,131,35.8,49.1,314,45.5,37.1,637,23,3.6,25,0.66,4.0
São Paulo,3,38.0,42,6,0,6,0,48.3,0.27,+6.3,+0.17,199,522,38.1,1008,161,39.5,30.8,327,37.9,33.0,520,24,4.6,43,1.13,7.0
